Frequency,Prominence,Section
86,10.8446400197129,0
86,16.8405498080355,0
86,11.2220115020037,0
86,7.58130245384042,0
86,10.752084964931,0
86,8.80435588112783,0
86,10.5365797798424,0
87,8.00282594124266,0
88,6.76163215000082,0
88,8.733259641905,0
87,11.8646194550861,0
86,3.02171919779732,0
65,7.98698348115347,0
65,6.54340190194129,0
86,5.28753400002279,0
65,9.45499698997951,0
87,11.464656775681,0
64,9.7853691603775,0
65,10.3441156878166,0
65,6.69085207649274,0
87,7.86069543114611,0
87,6.76909955416312,0
65,3.92425368786092,0
3,3.66652100695634,0
65,4.67885550899647,0
87,13.2175235873046,0
87,11.1660363551064,0
87,10.9888473586364,0
87,10.6644876648175,0
65,7.32889827939509,0
2,6.27820709080211,0
65,12.1124207468068,0
87,7.69500891772603,0
88,1.30765759082815,0
88,5.34667591590354,0
88,6.40865833402956,0
88,7.68159166308661,0
65,7.29859722753503,0
65,11.5300155695789,0
65,5.27180739497823,0
89,3.89757360034133,0
89,6.93352135988217,0
89,5.58795303091592,0
65,6.15616844875186,0
89,6.64390564778327,0
89,13.0502447469958,0
89,6.19007969294167,0
66,5.96073270465616,0
89,2.38028598567596,0
90,9.69801769418676,0
90,12.0266758090584,0
90,11.1938621273674,0
65,7.75734422614719,0
90,10.5223632432165,0
90,7.95728911891785,0
90,10.2023770779561,0
90,9.48328436905794,0
90,9.86882588142707,0
90,6.90194246811824,0
90,8.27028766985063,0
91,8.46778836850428,0
91,7.46510885131253,0
91,10.0892073680605,0
74,5.43966191114769,0
90,9.6857299382848,0
90,11.4011525061861,0
90,9.33831091052185,0
91,12.7597815028885,0
90,7.35641499523401,0
90,5.49352198728288,0
90,10.0723179823721,0
91,10.8741029426477,0
90,10.326392240439,0
90,9.27727325126947,0
90,12.058266169482,0
90,7.34273791327478,0
90,15.2897346956855,0
90,11.4053281787569,0
91,10.7209199942677,0
66,8.42176411196587,0
90,7.33634046152823,0
91,5.68878537809956,0
91,11.9598727891809,0
91,11.3841358647021,0
91,5.79451420509678,0
66,12.6708399324394,0
91,9.34524459211106,0
91,8.17566932680674,0
91,10.988300079366,0
91,7.43863334398341,0
91,9.35035571948453,0
91,10.6597392780639,0
66,11.6946025187438,0
91,7.76766112858526,0
91,10.5849066711511,0
91,10.8033435081035,0
91,9.50698231433822,0
91,8.98416901822263,0
66,8.23510282011642,0
91,11.8395070765109,0
91,12.3878587333086,0
92,9.03432092010028,0
91,8.49767309378419,0
91,8.93195972726316,0
91,12.2018213885661,0
91,12.0176545593427,0
91,9.82474520972665,0
90,5.89492539510458,0
91,12.3607282798321,0
91,9.36029709507415,0
91,10.2398807848474,0
66,12.9922303122675,0
91,9.04017459436191,0
91,7.85885844980538,0
91,12.7582625125812,0
91,9.49213263757685,0
91,11.858718751229,0
91,11.9850693500603,0
91,10.5499304047021,0
92,8.93595969408357,0
92,9.32004708995132,0
91,4.51703675474466,0
92,12.0565817180558,0
92,11.2325770298117,0
93,11.5766648420668,0
66,12.113392252061,0
95,6.16852058574893,0
95,7.45524674783889,0
95,11.6411684392258,0
95,11.1675952089199,0
95,8.10284857303122,0
96,8.19110401776537,0
66,7.03945363445312,0
95,11.6852753105706,0
96,12.6995283664269,0
96,6.26130764735598,0
96,11.6628156525994,0
67,14.2222855712326,0
97,9.74241868987082,0
96,8.94677736278817,0
97,12.8977036440566,0
97,10.7202638428464,0
97,9.33057110257979,0
96,7.56562480266578,0
61,6.1884228409826,0
67,8.36123186726926,0
66,9.28083492942566,0
97,9.41083925738217,0
97,11.7019634596887,0
97,9.34497613018434,0
66,8.07430055525459,0
95,8.92699643064052,0
96,10.1122682454125,0
67,12.460431216828,0
96,10.8659441114152,0
96,10.2985266840047,0
96,10.0639495746593,0
66,6.56326564490019,0
96,12.4390478927212,0
96,10.0812904183895,0
97,9.36658384649208,0
96,11.987355444906,0
